,,Everhunt Diana,S,S+,S,S+,S+,A-,B,S,S+,S+,S+,A+,S+,S+,9.49,"Requires 8-stars to be properly used, before that nothing spectacular, at 9-stars offers 7 Valiantors potential, which is amazing, fits more Protector-based teams."
,,Gaia,S,S,S,S+,A+,S,A-,S,S,S,S,S,S,S,9.33,"A necessity for RO and a menace in PVP at 7* due to her speed reduction, currently a must have in the core Mystifiers team."
,,Eve,SS,S-,S,S,A+,A+,B,C,A+,A+,A+,A+,A+,A+,9.21,
,,Venus,SS,S-,SS,S,A,A-,C,B,B,B,B,B,B,B,9.13,
,,Astrid,S,S,A+,A+,S+,S-,B,S,S,S,S+,S,S+,S,9.01,"Her double ultimate remains a broken skill, though her runes are slightly losing value due to power creep. Still used in majority of the PVE because of her combo with Atropos/Cleopatra. Niche pair with Behemoth."
,,Ophelia,A+,S+,A+,S+,S+,S+,S+,S,S+,S+,S+,A+,S+,S+,8.99,"Complimented by pretty much any HP buffer, which is majority of high tier heroes, you'll mostly fit her anywhere, anytime, but mainly with Elisha or Dooms for PVE and some PVP."
,,Hades,SS,S-,S,SS,A+,S+,C,S-,B,B,A,B,C,C,8.97,"Rivals Aphrodite as one of the most broken PVP heroes but requires higher investment, such as legendary runes, for prolonged fights."
,,Dahlia,A+,S+,A+,S,S+,S+,S+,A-,S+,SS,S+,S+,S+,S+,8.97,"Usable everywhere, even without runes, but excels with legendary runes.
Falls off GIGA-LATE game."
,,Cleopatra,S-,S,A+,S-,S,S,S,S,S,S,S,S,S,S,8.92,"A 6* of Cleopatra will suffice just to have a 2nd Pledge hero early on for the RO. 
Overshadowed by other buffers now (Atropos, Hela, Victoria).
Needs 8-stars for PvP to fill in the synergies"
,,"Sovereign Aiushtha
",S+,S,S,S+,S,B,B,B,A,B,A-,B,B,B,8.87,"Allows your heroes to double-action, works with the Lance relic.
Damage she does is insane and her Oath Force allows her to go wild in PvP."
,,Primordial Arkdina,SS,S-,SS,A-,B,B,C,S-,C,C,C,C,C,C,8.77,"Makes Ave-Monarchs kind of insane by giving them immortality to scale up, and also same for Phantoms but to lesser extent as of right now. In Seasonal PvP, by countering Phoenix (execute) she's pretty key in either of the two versions of Avengers."
,,Sourceborn Marina,SS,A+,S+,A+,S-,A+,A-,C,B,B,B,B,B,B,8.76,"Requires 12* for a reliable PI/SD counter, without it you're just flipping a coin. Other than that, she does great damage at 10-stars, and is usable at below as a filler."
,,Eudora,A+,S+,S-,S-,S+,A+,A+,A,A+,A+,A+,A-,A+,A+,8.75,"Requires (ideally) supreme legendary runes and skin to be usable in PVP, still amazing in PVE especially when paired with Elisha."
,,Aphrodite,S+,S-,S+,S+,S-,B,B,S-,A,B,B,B,C,C,8.74,"Arguably the most overpowered hero in PVP. Benefits from having ultimate substats for exclusive runes, can fit in any PVP team."
,,Wu Zetian,S+,S,S+,SS,A,B,C,S+,C,B,C,C,C,C,8.73,"Similar to Aphrodite, but slightly weaker as she doesn't deal as much damage; however, she compensates with superior survivability."
,,Odin,S+,S,S+,S-,C,C,A-,B,B,B,A,S-,D,C,8.70,"Absolutely a must-have hero in any PVP or content that requires Holy Shield negation, works on Holy Armor as well."
,,Mulan,A+,S+,A+,S-,A-,A-,A-,C,S+,S+,S+,S+,S,S+,8.64,"Since her release, she’s been a staple in every Rift Odyssey due to her burn % damage, which is also invaluable in other PVE content, making it much easier to clear. She's viable in PVP when paired with AoE heroes that can apply her burn."
,,Isis,S+,A+,S+,S-,B,B,C,S,B,B,B,B,B,B,8.43,"Great synergy-bot but requires 8-9* and exclusive runes to not be taken down quickly, otherwise is required in both Foggy and WA. Becomes DPS at 10* and above."
,,Tsukuyomi ,S,S,S-,S-,B,B,B,B,B,B,B,B,B,B,8.37,"Doesn't work on her own, requires helping heroes at a decent level (Emily with Epic runes) and Gaia (at 6 bare-min.)"
,,Catherine,S,S-,A,A+,S-,S+,B,C,S+,S-,A,S+,B,A+,8.37,"Once the top mage for all content, she’s still valuable but has fallen due to Gaia. At 12*, her 100% Vitadrain and AoE rune utility keep her relevant in multi-team content, with potential for a comeback."
,,Tiamat,S,S-,S,S+,A,A,D,B,B,B,B,B,B,B,8.34,"Strong hero, weak synergy (Mystifiers); once Mystifiers get better, she will shine more. Key part of the main Mystifiers team, with A. Bastet and Gaia."
,,Karnak,S-,S-,S-,A+,S-,S-,A+,C,B,B,B,C,B,A+,8.16,Requires legendary runes to be effective in PVP but performs well with epic runes in PVE. Just a nice early game Elisha booster and late game Binder.
,,Narissa,SS,A,S+,A+,B,B,B,B,C,C,C,C,C,C,8.15,"Requires legendary runes to be main DPS, excels in Phantom teams."
,,Behemoth,S,A+,S+,S+,C,B,C,S-,S,C,C,C,C,C,8.10,"After the buffs her speed buff acts like a Gaia, absolutely necessary in PVP for either first or 2nd team to ensure having action order faster than your opponents, as well as the stun and stats she provides."
,,Death Knight,S,S-,A+,A+,A+,A+,B,C,B,B,B,B,B,B,8.08,"After the hotfix is a pretty solid hero, both in Phantoms and in 7+ Val teams."
,,Audrey,S+,S-,A+,A,B,B,C,S-,S-,C,C,C,B,C,8.08,"Her synergies make her great, along with strong damage output and the most important part, stealing shields and even holy shields."
,,Hera,S+,A+,SS,B,C,C,C,C,C,C,C,C,C,C,8.02,"Only a PVP hero; nothing more, nothing less.
Magatama effect on a hero that is even better than the Magatama itself."
,,Elmer,A+,SS,A-,A+,A-,A-,C,S+,C,A,A,C,C,C,8.00,"Cheapest and best solution for survival in RO when paired with the Undying Shield Artifact, Solid in PVP due to Phantoms."
,,Dullahan,S-,S,S-,A+,B,C,C,A+,B,B,B,B,C,D,7.99,"Monarch + Mystifier, high AoE DPS."
,,RA,A+,SS,A+,S-,C,C,C,S-,C,C,C,C,C,C,7.96,Elmer's replacement in RO. Decent in WA but likely to be either replaced fast for PVP or improved with newer heroes.
,,The Fool,S+,A+,A+,S-,A-,A-,C,C,B,B,B,B,B,B,7.95,"Good hero for PVP > PVE, but requires legendary runes"
,,Hecate,A+,S-,A+,S-,B,S+,A,A+,S-,B,B,B,B,B,7.92,"One of the strongest hitters among Avengers, requires higher star investment to work. Currently weak due to Dodge / Her Striker Synergy is bad."
,,Chang'e,S,A+,S-,A-,A-,B,B,B,B,B,B,C,B,C,7.84,"Requires a minimum of 8* to be usable but ideally needs 10* or higher. However, she has several weaknesses since she only targets the frontline, making her vulnerable to counters like Elmer, Persephone, or other Fortitude/Sanctuary users."
,,Atropos,B,S+,A-,S+,S+,S+,S+,A-,S-,SS,S+,S+,S+,S+,7.83,Back in main PVE teams because of Lucifer. Also works with Victoria.
,,Judgement,S+,A+,A+,B,B,B,C,C,B,B,B,B,B,B,7.78,"Limited, yes she counters Mystifiers but only in early game. Does need 8-stars. Extreme 100 requires her 6>9-stars. Usable hero in Ethereals or < Glorians. Pretty good vs. Mysts Tree."
,,Leandra,S-,A+,A,S,A-,B,C,S+,S+,B,S,B,B,B,7.78,"An overall decent hero, especially early game because of big flat number scales, but falls of quickly because of that.
Late niche usage: Aphrodite/Narissa/Pandora enabler."
,,"Ascended Bastett
",S+,A+,A+,S-,B,C,D,C,B,B,B,B,C,B,7.75,"Unique AOE -> Single hit spell conversion, counters a lot of multi-hit heroes especially AOE heroes that rely on burst, provides survival to the current existing Mystifiers, but apart from that, not worth for F2P's."
,,Amaterasu,S,A+,A,A+,A+,B,C,A+,A+,B,B,B,C,B,7.73,"Needs 10* to start functioning in a PVP match, current niche being S+ in the Shield/HP Foggy, fits well with Protectors team and/or Elisha-Dora team."
,,Elowyn,A+,S+,A,S,B,B,B,A-,B,C,C,C,C,B,7.72,"With various ways to increase hero actions in seasonal content, Elowyn has seen a slight improvement, as multiple actions enhance her odds of activating Sanctuary. Additionally, due to the effectiveness of Phantoms in the World Arena, her ranking has also been slightly elevated. Great Hela pair."
,,Halysa,A,A+,S+,S+,A-,B,B,S,C,S-,C,C,C,C,7.62,Fits any Monarch-based team and excels on it.
,,Izanami,A+,S-,A+,A+,B,B,B,B,B,B,B,B,B,B,7.62,"She's just weaker version of Elisha, no reason to chase/get her"
,,Lamia,A+,S+,A-,A-,B,B,C,C,A+,S+,B,C,C,C,7.57,Expensive hero that shines with supreme legendary runes and high star investment.
,,Lilith,A+,A+,A+,S,A+,A+,C,B,A-,B,B,B,B,B,7.55,"Great for some PVE cheese levels, excels in seasonal PVP and seasonal modes. Ideally wants 9*+, for PVE usable at 6/8* depending on the stage of the account."
,,Talos,S-,A+,A+,A,B,C,D,S,S+,B,B,B,C,C,7.54,"Overall just a decent unit, quite fast too."
,,Mavis,A+,A+,A+,A+,B,B,C,S-,S-,B,B,S-,B,C,7.54,Fading out due to absurd tanky meta.
,,Ying Zheng,S+,A,S-,A,B,B,D,C,B,C,C,C,C,C,7.50,"Just a buffer/enabler, sometimes does exceptional damage but most of the times serves as a Phantom filler."
,,King Arthur,S,A+,A+,A+,B,B,C,C,C,B,C,C,C,C,7.48,"A really good PVP hero, benefits from having runes. Reflects Freeze, Corrode, Banish and other CC-type of debuffs."
,,Emily,A+,S-,A+,A+,B,B,B,B,B,B,B,B,C,D,7.47,Her epic-exclusives make her a really cheap strong EWE hero that excels in a lot of content.
,,Nawi,A+,A+,A,A,S-,A,A,A-,B,B,B,C,A+,B,7.44,"The first Godlike E/W/E hero, lost it's value but still one of the better E/W/E's."
,,Susanoo,SS,A,A,A,C,C,C,C,C,C,C,C,C,C,7.40,"Insane Damage output + Counter-attacks + CC removal, strong in PVP"
,,Lancelot,A+,A+,A+,S-,A-,A-,A-,B,B,A,C,C,C,C,7.38,"Insane corrode damage with Phantom Illusion as an EWE hero, very broken in Mystifiers teams, excels in RO for the beginners. Slowly fading away from the meta."
,,Dorabella,A-,S+,B,S+,A+,A+,S+,S,B,B,B,C,B,S-,7.36,S+ in boss trials with her epic+ runes due to HP% damage.
,,Wukong,S-,A+,A,S,S+,B,B,C,C,C,C,C,C,C,7.29,"Pairs well with Eudora and Elisha, but requires legendary runes and gourd, as well as high star level.
Current niche team is with Mystifiers or Protectors or Nethers, pairs well with Mulan's follow up ATKs."
,,Arcana,S+,A-,S-,A,B,B,D,C,B,C,C,C,C,C,7.28,"Will fall off after the season ends, not necessary hero, Ying's cheap & good. Especially with his runes. She doesn't have a slot in PvP other than replacing Ying and once season ends she's likely just gonna be worse."
,,Vittoria,S-,A-,S-,A-,C,B,C,A+,B,B,A,C,B,B,7.25,"Requires legendary runes to be really good in the PVP, works fine without them, excels in Monarch teams."
,,Bahamut,A+,A+,S,A+,D,D,D,A-,C,C,C,C,C,C,7.14,"Requires 9* for Tremors full value, 40% on each unit has high chance to trigger, making her a pocket Banish/Stun hero, also a Deviant Glorian that's useful, which is rare these days."
,,Doris,A+,A-,S,S+,C,B,C,C,B,S-,C,C,C,C,7.07,"Works at 8* with legendary runes, key things being in PVP and PVE [Lost City, Palace, Missions]."
,,Althea,S,B,S+,A-,B,B,B,B,B,C,C,C,C,C,7.05,"A core in Avenger/Phantom team, especially good with Mavis."
,,Seraphina,A,A,A+,A+,B,C,C,A+,A,B,B,S,C,B,7.03,"Excels in most content and is arguably the best support in the game.
Her main usage is being the speed bot for the ASA combo."
,,Janna,S,A-,A,B,B,B,C,C,B,B,B,C,B,C,6.94,"Current niche being in Phantoms with Shield Foggy, very good carry."
,,Lily & Lia,A+,A+,A-,A+,C,C,D,S+,B,B,B,D,B,B,6.91,One of the better E/W/E heroes providing amazing survival and synergies.
,,Merlin,A+,A-,A+,S+,B,B,C,A,B,B,B,C,C,C,6.89,"Amazing & Cheap PVP hero. Slowly losing his value, likely to fall off in future season/s."
,,Lee,A,A,A+,A,B,B,B,S-,C,C,C,C,S,C,6.89,"A really good synergy bot when it comes both to PVP and PVE, all 3 of his synergies can find use, but to unlock his carry-potential, you'll need his legendary exclusive runes. Has a bind-counter as well."
,,Fenrir,A+,A+,A,A+,B,C,D,A,C,C,C,C,C,C,6.88,"Pretty bad, flat stats do nothing in the late game, should be a good hero in the early game.
Speculative rankings."
,,Alice,A+,A+,A-,A,C,C,C,S-,C,C,B,C,C,C,6.79,"Excels in the Foggy with increased Shields, so far looks like a solid cheap shield-bot.
Her shields are AoE, not ""same line"" as written."
,,Sandra,A+,A-,A,S-,B,B,B,S+,C,C,C,C,C,C,6.67,"Amazing & Cheap hero, offering strong synergies for those who lack better heroes."
,,Persephone,A+,A-,A+,A-,D,D,C,S,B,B,B,C,C,C,6.63,Her legendary runes are one of the better ones PVP wise that can swing fights a lot of times.
,,Marlena,A+,A+,B,A-,B,B,B,C,B,C,A,C,C,B,6.62,"Useful for her healing rupture, making her effective against certain boss-type heroes that rely on healing, especially in RO. Also decent in World Arena for the same reason. Really good with exclusive runes."
,,Guinn,A,A+,B,A-,B,B,C,S,B,B,B,C,B,B,6.54,"Used to be a staple in most of Rift Odyssey content in multiple seasons.
Slowly losing his value. Still solid/usable early game"
,,Schrodinger,A-,A+,A,A+,C,C,C,S+,C,C,C,C,C,C,6.53,"No longer required, Elmer is ""free"""
,,Aiushtha,A+,B,A,A,A+,B,B,A-,A+,S-,B,C,B,C,6.49,"A core in Phantom Dooms team, potentially good in Enchanters, overall a solid PVP hero."
,,Macaria,B,S,B,A-,B,B,C,S,S+,B,A-,C,B,B,6.45,"A solid synergy bot with a decent kit. Though power-crept, it can still serve as a niche filler. With her 33% to block damage, she can be a really good frontline for RO."
,,Lachesis,A,A,A-,A,C,C,C,B,B,B,B,C,C,C,6.38,"Can strip down Holy Shields, especially useful in Rift Odyssey."
,,Talanis,A+,A-,B,A+,B,B,C,S,B,B,B,B,B,C,6.36,"Amazing synergies, good kit, the only issues is her slow Speed."
,,Catrina,A-,S,C,A+,A+,B,A+,D,A,B,B,B,D,B,6.30,"Useful in the early game due to survival, no reason to push further than 7*. Falls off as survival stops being an issue. Niche in Lost City Dawnbringers."
,,Portia,A+,A-,B,A,B,C,C,A+,B,B,B,C,B,B,6.27,"Her current niche is in WA sustain teams as a Blesser with a Banish Hope Tree. Otherwise, she serves as a decent synergy bot for the future. She has a high skill ceiling due to her rune interactions."
,,Sylvan,S,B,A-,B,B,B,C,C,C,B,B,C,C,C,6.26,"High DPS with insane amounts of revivals in Phantom teams, great Doom filler."
,,Gloria,A,B,A+,A+,B,B,B,S-,C,C,C,C,B,C,6.17,"World Arena filler, once an amazing hero, but now just a synergy-bot."
,,Bai Suzhen,B,A+,B,A+,A-,B,A-,A,C,B,B,B,B,B,6.02,Amazing early game hero that acts as a cheap Elisha.
,,Albert,S-,C,A+,B,C,B,C,A,B,B,B,C,C,C,5.82,"Good as a Avenger/Monarch filler.
His Legendary runes offer a cheap Pessimism which often can lead to shifting the fights."
,,Snow White,A-,A-,A-,A,C,C,D,B,C,C,C,C,C,C,5.76,"Requires 12* and legendary exclusive runes, along with some guaranteed ways to survive [such as fortitude] to ensure her going hard on enemies with her feral passive triggered."
,,Carola,B,A,A,A+,B,B,D,D,A,B,B,D,D,D,5.74,"Requires legendary runes to be useful, current niche being PVP, Dragon and some Seraphic Ruins, Lost City levels."
,,Nyx,B,A,B,B,B,B,C,C,B,B,S+,C,C,B,5.57,"Once a top tier hero, although given the power-creep, and low % to trigger her abilities, with a high dodge chance, she has fallen from grace.
Her current niche is Rift Odyssey: Extreme Boss."
,,Ariana,B,A-,B,A-,B,B,B,C,B,B,B,B,A-,C,5.42,"No longer a meta, requires 12* and legendary runes just for her niche usages."
,,Franz,A,B,B,B,C,B,C,C,B,B,B,B,B,D,5.40,"Once was used in Phantom WA teams as a stun hero with his exclusive runes.
OK with Asmodeus"
,,Diao Chan,B,A-,C,A+,C,B,C,A-,A-,B,B,C,C,C,4.91,"Has a decent potential with her legendary exclusive runes.
Closest EWE to Atropos, in terms of buffing.
Niche usage in the Avenger Tombs"
,,Bastet,B,A-,C,A-,B,C,C,C,B,B,C,B,C,C,4.76,"Decent in the Shadowarch Lost City, PVP meh but has nice utilities on her runes and skills."
,,Lysandra,A-,B,C,B,B,C,C,C,C,C,C,C,C,B,4.61,"Current niche is being a 'solid' buffer in the Tombs and Primeval Realm, niche pairing with the Behemoth (Speed)."
,,Madeline,A-,B,C,C,C,C,C,A+,C,C,C,C,C,C,4.56,Decent WA filler and performs well in Crimson Town.
,,Salleine,C,A-,C,A,A+,S,B,C,A+,B,B,C,B,C,4.50,"Fell down quite hard, and likely replaced due to Hecate/Catherine's existence for infinite scaling. Doubt that he will see light of the day once more."
,,Arkdina,B,B,C,C,B,B,B,B,B,B,B,C,B,B,4.44,Skip.
,,Hallios,B,B,C,B,B,B,B,C,B,B,B,C,B,C,4.42,Skip.
,,Mastema,B,B,C,C,B,B,B,C,B,B,B,C,C,B,4.35,"Deviant, that's all he offers.
Once was OP on release and in S5 when he was a Souleater."
,,Athena,B,B,C,B,C,C,C,C,B,B,B,C,C,C,4.24,"WA filler, decent early game hero."
,,Solomon,B,B,C,A-,C,D,C,C,B,B,B,C,C,C,4.23,Useless.
,,Minotaur,B,C,B,C,C,C,C,D,B,B,C,B,C,C,3.91,Mainly used in Phantom WA teams as a stun hero with his exclusive runes.
,,Themis,C,B,C,B,B,B,B,D,B,B,A-,C,C,B,3.76,Falls off after ~7 days.
,,Osse,C,A-,C,D,C,D,D,C,C,C,C,B,C,C,3.69,"Counters bind, cheap for the early game."
,,Marina,C,C,C,B,C,B,A-,C,B,B,B,C,B,B,3.16,"Good filler for WA Nawi teams, okay in the early game."
,,Anubia,C,C,C,B,D,D,C,S-,B,B,B,C,C,B,3.01,Falls off after ~14 days.
,,Kristine,B,C,D,C,B,B,B,C,C,C,C,C,C,C,2.97,"Maybe good, someday?"
,,Ashlyn,C,B,D,C,D,D,C,A,C,C,C,C,C,C,2.83,"Potentially useful with her exclusive runes, but as of right now, a skip hero."
,,Elune,C,C,C,C,C,C,C,D,C,B,B,C,C,C,2.79,Falls off after ~30 days.
,,Ellie,C,C,D,C,C,D,D,D,C,B,B,C,C,B,2.17,
,,Elyrian,D,D,D,D,C,D,D,C,D,D,D,D,D,D,0.11,
