Question,Answer
"An archaeologist claims to have found an ancient gold coin with ""400 BC."" Why do you immediately know he's lying?",People at the time didn’t know the term BC
"In a single battlefield of the Holy Grail War, how many or more Holy Grails must be occupied by the same guild for its members to receive a yield bonus?",3
"At the start of a season, what is the default Eternal level?",100
"In the Wilderness Labyrinth, what needs to be lit to awaken the boss?",Altar
How many Valkyrie Mastery heroes can be deployed in a single team at most?,1
How many stars do the heroes provided in the Dimensional Arena have?,9
Who once opened the box that unleashed disasters upon the world?,pandora
Which hero's synergy is not Valkyrie Mastery?,babylon
Which hero has the Avengers Valkyrie Synergy?,Hera
How many top players from the Abyss Crusade can participate in the Foggy Colosseum?,128
A doctor gives you 3 pills and tells you to take 1 pill every half hour. How long will it take to finish them?,1 hour
What gets dirtier the more you wash?,water
How many players are on the field for each team in soccer?,11
Which hero's Valkyrie Synergy is not Valiantors?,lucifer
How many days does each round of Sacred Gambit last?,7
"What belongs to you, but others use it far more than you do?",Your name
How many weeks does a season typically last?,8
"There are 12 months in a year; some have 31 days, some have 30 days. How many months have 28 days?",12
"In Primeval Realm, what must be provided to the Master to learn Hope Tree skills?",goods
