,,,,,,,,,,
,Avatar,Name,"Rune Type (4 of SAME type, do not mix)",Secondary Type [Up To You] ,Reasoning,"Substat 1
Pre 11-stars","Substat 2
11-star +",Roll For Unique / Supreme,Impact,If Needed Notes
,,Tiamat,DPS ,Healing (Survival),Rarely takes any damage and can dish out tons of it.,ATK,Cure Rate,TRUE,(Y) High,
,,Lee,Dodge (Protection),Healing (Survival),Full on Dodge & Basic ATK's.,Basic ATK,,TRUE,(Y) High,Unfortunately a benched hero due to no seasonal synergy [late game].
,,Marlena,Healing (Survival),Dodge (Protection),Wants to live as long as possible so she can apply the Pessimism from her legendary runes.,ATK,Crit RES. Rate,FALSE,(Y) High,
,,Albert,Dodge (Protection),,Avenger = Scales of the dodge conversion.,ATK,,FALSE,(Y) High,Unfortunately a benched hero due to no seasonal synergy [late game].
,,Sylvan,Dodge (Protection),,Helps in preventing the healing from enemies.,ATK,,FALSE,(Y) High,
,,Persephone,Dodge (Protection),,Avenger = Scales of the dodge conversion.,ATK,,TRUE,(Y) High,Super good when the dodge meta is prominent.
,,Lamia,Reflect,Dodge (Protection),"DPS pre 11-stars is OK, mainly used for RO and occasional PVP if the meta suits her.",Abyssal Breath,,TRUE,(Y) High,
,,Lachesis,Dodge (Protection),,Avenger = Scales of the dodge conversion.,ATK,,FALSE,(Y) High,
,,Dorabella,DPS,,"One of the unique heroes due to her exclusive runes, purely a DPS, no longer used due to Pandora/Belt.",Basic ATK,,TRUE,(Y) High,
,,Atropos,DPS,"Dodge 
(for LC)",The only reason to get her runes would be to increase her ATK = more Pledge.,Baptism Of Dawn,Crit RES. Rate,FALSE,(Y) High,
,,Diao Chan,Dodge (Protection),,Only truly useful in the Tombs or Lost City Dawnbringers.,ATK,,FALSE,(Y) High,
,,Aphrodite,Dodge (Protection),DPS,"She's an Avenger that scales off from dodge % by converting it into ATK, on top of that she prefers to live longer for more chances of ultimates, providing more damage long-term.",Ultimate,Ultimate,TRUE,(X) Medium,Can PI during CC + More damage
,,Leviathan,Dodge (Protection),Reflect,"You want to make her live as long as possible basically, Unique not as needed, but if you can afford - go for it.",ATK,,FALSE,(X) Medium,
,,Mavis,Dodge (Protection),,"Supreme and Dodge simply increases her ATK to absurd levels, Unique is nice, but Supreme doesn't even compare.",Undead Overlord,,FALSE,(X) Medium,
,,Althea,Dodge (Protection),,Only truly unique at legendary runes but far from the priority. Wants Unique due to Celestials Synergy.,ATK,,TRUE,(X) Medium,
,,Cleopatra,Dodge (Protection),DPS,"DPS for PVE, Dodge for PVP. 
Benefits from both Unique and Sub-stats.",ATK / Ultimate,,FALSE,(X) Medium,
,,Hecate,Dodge (Protection),,,ATK,,TRUE,(X) Medium,Hero is hard to fit in majority of the teams due to synergy/ies.
,,Lilith,Healing (Survival),Dodge (Protection),,ATK,,TRUE,(X) Medium,Hero is hard to fit in majority of the teams due to synergy/ies.
,,King Arthur,Dodge (Protection),Reflect,"Outdated, weak hero, weak rune",ATK,,TRUE,(X) Medium,
,,Alice,Dodge (Protection),Healing (Survival),Strong rune + usable hero early - mid game,ATK,Crit RES. Rate,FALSE,(X) Medium,
,,Talos,Dodge (Protection),Healing (Survival),Strong at full Legendary,ATK,Cure Rate,TRUE,(X) Medium,
,,Seraphina,Dodge (Protection),Reflect,Reflect is only OK-ish if you're using her with the Lamia-Sanctuary team / Arthur-Doris team.,ATK,Crit RES. Rate,TRUE,(X) Medium,
,,Dullahan,Healing (Survival),Dodge (Protection),"Fits his exclusive runes very nicely,

DPS shouldn't be bad either.",ATK,Cure Rate,TRUE,(X) Medium,
,,Wukong,DPS ,Dodge (Protection),"Not needed for his success, only for the Sub-stats",Basic ATK,,TRUE,(X) Medium,
,,Mulan,DPS ,Dodge (Protection),"Due to her follow-up ATK's, Basic ATK kind of suits her the best, as well as DPS runes, but, Dodge broken after all.",Basic ATK,Cure Rate,FALSE,(X) Medium,
,,RA,Dodge (Protection),Healing (Survival),"Both are valid options, depends on the meta state.",Reflect RES. Rate,,FALSE,(X) Medium,
,,Schrodinger,Dodge (Protection),,Fits her kit.,ATK,Crit RES. Rate,FALSE,(X) Medium,Unfortunately a benched hero due to no seasonal synergy [late game].
,,Elowyn,Dodge (Protection),,Strong runes for PVE.,ATK,Crit Rate,FALSE,(X) Medium,
,,Minotaur,Dodge (Protection),Healing (Survival),Pretty usable runes at 2-2 in weird Phantom Myst lineups to stall by stunning,ATK,Cure Rate,FALSE,(X) Medium,
,,Sandra,Dodge (Protection),,Only usable runes in LC,ATK,Cure Rate,FALSE,(X) Medium,Unfortunately a benched hero due to no seasonal synergy [late game].
,,Snow White,Dodge (Protection),Reflect,,ATK,,FALSE,(X) Medium,
,,Carola,DPS ,Dodge (Protection),"High potential, hard usability",ATK,Crit RES. Rate,FALSE,(X) Medium,
,,Madeline,Reflect,DPS,"Her soak-up damage scales off her ATK, more ATK, more detonate damage.",ATK,,FALSE,(X) Medium,
,,Arkdina,Dodge (Protection),,Avenger = Scales of the dodge conversion.,Increase allies ATK,,FALSE,(X) Medium,
,,Odin,Dodge (Protection),DPS,"Either of the two work, pick whichever you feel like using.",ATK,Crit RES. Rate,TRUE,(W) Low,
,,Behemoth,Dodge (Protection),Healing (Survival),"Reflect is also more than fine, overall a very flexible hero with exclusive runes",ATK,,TRUE,(W) Low,
,,Chang'e,Dodge (Protection),DPS,,Lunar Radiance,,TRUE,(W) Low,
,,Ophelia,Reflect,Dodge (Protection),,ATK,,FALSE,(W) Low,
,,Bahamut,Dodge (Protection),Healing (Survival),Wants to live as long as possible to keep constantly applying the Tremor effect and doing the HP bomb every 3 rounds.,ATK,Crit RES. Rate,TRUE,(W) Low,
,,Aiushtha,Reflect,Dodge (Protection),,ATK,,FALSE,(W) Low,
,,Elmer,DPS,Reflect,"Doesn't care for survival runes, pure DPS or Reflect if ran in Phantom/Dooms.",ATK,,FALSE,(W) Low,
,,Tsukuyomi ,DPS ,Dodge (Protection),,ATK,Cure Rate,FALSE,(W) Low,
,,Lily & Lia,Dodge (Protection),Healing (Survival),,ATK,Crit RES. Rate,FALSE,(W) Low,
,,Leandra,DPS ,Dodge (Protection),,Thunder Whirl,,FALSE,(W) Low,
,,Merlin,Dodge (Protection),Reflect,,ATK,,FALSE,(W) Low,
,,Talanis,Dodge (Protection),DPS,,ATK,Crit RES. Rate,FALSE,(W) Low,
,,Nawi,DPS ,Dodge (Protection),,Basic ATK,,TRUE,(W) Low,
,,Gloria,DPS ,Dodge (Protection),,ATK,Crit RES. Rate,FALSE,(W) Low,
,,Portia,DPS ,Dodge (Protection),,ATK,,FALSE,(W) Low,
,,Guinn,Dodge (Protection),,,ATK,Crit RES. Rate,FALSE,(W) Low,
,,Catrina,Dodge (Protection),DPS,,ATK,Basic ATK,FALSE,(W) Low,
,,Franz,Dodge (Protection),,,ATK,Cure Rate,FALSE,(W) Low,
,,Arianna,DPS,Dodge (Protection),,ATK,Crit RES. Rate,FALSE,(W) Low,
,,Bai Suzhen,DPS,Dodge (Protection),,ATK,Crit Rate,FALSE,(W) Low,
,,Hallios,Reflect,Dodge (Protection),,ATK,,FALSE,(W) Low,
,,Athena,Reflect,Dodge (Protection),,ATK,,FALSE,(W) Low,
,,Macaria,Dodge (Protection),DPS,,ATK,Crit RES. Rate,FALSE,(W) Low,
,,Nyx,DPS,Dodge (Protection),,Abyssal Jaws,,FALSE,(W) Low,
,,Bastet,Dodge (Protection),DPS,,ATK,Cure Rate,FALSE,(W) Low,
,,Lysandra,DPS,Dodge (Protection),,ATK,,FALSE,(W) Low,
,,Anubia,Dodge (Protection),,,ATK,,FALSE,(W) Low,
,,Salleine,Dodge (Protection),,Avenger = Scales of the dodge conversion.,ATK,,FALSE,(W) Low,
,,Marina,Dodge (Protection),,,ATK,Crit RES. Rate,FALSE,(W) Low,
,,Mastema,Dodge (Protection),DPS,,ATK,,FALSE,(W) Low,
,,Solomon,Dodge (Protection),,Avenger = Scales of the dodge conversion.,ATK,,FALSE,(W) Low,
,,Themis,DPS,Dodge (Protection),,ATK,Crit RES. Rate,FALSE,(W) Low,
,,Kristine,DPS,Dodge (Protection),,Glorious Chapter,,FALSE,(W) Low,
,,Osse,Dodge (Protection),,,ATK,Cure Rate,FALSE,(W) Low,
,,Elune,Dodge (Protection),,,ATK,Crit RES. Rate,FALSE,(W) Low,
,,Ashlyn,Dodge (Protection),,,ATK,Crit RES. Rate,FALSE,(W) Low,
,,Ellie,Dodge (Protection),,,ATK,,FALSE,(W) Low,
,,Elyrian,Dodge (Protection),,Avenger = Scales of the dodge conversion.,ATK,,FALSE,(W) Low,
